1 2 3 4 5 6 7 8 9 10 11 12 
58 59 60 61 62 63 64 65 66 67 68 13 
57 108 109 110 111 112 113 114 115 116 69 14 
56 107 150 151 152 153 154 155 156 117 70 15 
55 106 149 184 185 186 187 188 157 118 71 16 
54 105 148 183 210 211 212 189 158 119 72 17 
53 104 147 182 209 228 213 190 159 120 73 18 
52 103 146 181 208 227 214 191 160 121 74 19 
51 102 145 180 207 226 215 192 161 122 75 20 
50 101 144 179 206 225 216 193 162 123 76 21 
49 100 143 178 205 224 217 194 163 124 77 22 
48 99 142 177 204 223 218 195 164 125 78 23 
47 98 141 176 203 222 219 196 165 126 79 24 
46 97 140 175 202 221 220 197 166 127 80 25 
45 96 139 174 201 200 199 198 167 128 81 26 
44 95 138 173 172 171 170 169 168 129 82 27 
43 94 137 136 135 134 133 132 131 130 83 28 
42 93 92 91 90 89 88 87 86 85 84 29 
41 40 39 38 37 36 35 34 33 32 31 30 
