1 2 3 4 5 6 7 8 9 10 11 12 13 
62 63 64 65 66 67 68 69 70 71 72 73 14 
61 116 117 118 119 120 121 122 123 124 125 74 15 
60 115 162 163 164 165 166 167 168 169 126 75 16 
59 114 161 200 201 202 203 204 205 170 127 76 17 
58 113 160 199 230 231 232 233 206 171 128 77 18 
57 112 159 198 229 252 253 234 207 172 129 78 19 
56 111 158 197 228 251 254 235 208 173 130 79 20 
55 110 157 196 227 250 255 236 209 174 131 80 21 
54 109 156 195 226 249 256 237 210 175 132 81 22 
53 108 155 194 225 248 257 238 211 176 133 82 23 
52 107 154 193 224 247 258 239 212 177 134 83 24 
51 106 153 192 223 246 259 240 213 178 135 84 25 
50 105 152 191 222 245 260 241 214 179 136 85 26 
49 104 151 190 221 244 243 242 215 180 137 86 27 
48 103 150 189 220 219 218 217 216 181 138 87 28 
47 102 149 188 187 186 185 184 183 182 139 88 29 
46 101 148 147 146 145 144 143 142 141 140 89 30 
45 100 99 98 97 96 95 94 93 92 91 90 31 
44 43 42 41 40 39 38 37 36 35 34 33 32 
