1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 21 
69 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 89 22 
68 131 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 149 90 23 
67 130 185 232 233 234 235 236 237 238 239 240 241 242 243 244 201 150 91 24 
66 129 184 231 270 271 272 273 274 275 276 277 278 279 280 245 202 151 92 25 
65 128 183 230 269 300 301 302 303 304 305 306 307 308 281 246 203 152 93 26 
64 127 182 229 268 299 322 323 324 325 326 327 328 309 282 247 204 153 94 27 
63 126 181 228 267 298 321 336 337 338 339 340 329 310 283 248 205 154 95 28 
62 125 180 227 266 297 320 335 334 333 332 331 330 311 284 249 206 155 96 29 
61 124 179 226 265 296 319 318 317 316 315 314 313 312 285 250 207 156 97 30 
60 123 178 225 264 295 294 293 292 291 290 289 288 287 286 251 208 157 98 31 
59 122 177 224 263 262 261 260 259 258 257 256 255 254 253 252 209 158 99 32 
58 121 176 223 222 221 220 219 218 217 216 215 214 213 212 211 210 159 100 33 
57 120 175 174 173 172 171 170 169 168 167 166 165 164 163 162 161 160 101 34 
56 119 118 117 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 35 
55 54 53 52 51 50 49 48 47 46 45 44 43 42 41 40 39 38 37 36 
