1 2 3 4 5 6 7 8 9 10 
56 57 58 59 60 61 62 63 64 11 
55 104 105 106 107 108 109 110 65 12 
54 103 144 145 146 147 148 111 66 13 
53 102 143 176 177 178 149 112 67 14 
52 101 142 175 200 179 150 113 68 15 
51 100 141 174 199 180 151 114 69 16 
50 99 140 173 198 181 152 115 70 17 
49 98 139 172 197 182 153 116 71 18 
48 97 138 171 196 183 154 117 72 19 
47 96 137 170 195 184 155 118 73 20 
46 95 136 169 194 185 156 119 74 21 
45 94 135 168 193 186 157 120 75 22 
44 93 134 167 192 187 158 121 76 23 
43 92 133 166 191 188 159 122 77 24 
42 91 132 165 190 189 160 123 78 25 
41 90 131 164 163 162 161 124 79 26 
40 89 130 129 128 127 126 125 80 27 
39 88 87 86 85 84 83 82 81 28 
38 37 36 35 34 33 32 31 30 29 
