1 2 3 4 5 6 7 8 9 10 11 
52 53 54 55 56 57 58 59 60 61 12 
51 96 97 98 99 100 101 102 103 62 13 
50 95 132 133 134 135 136 137 104 63 14 
49 94 131 160 161 162 163 138 105 64 15 
48 93 130 159 180 181 164 139 106 65 16 
47 92 129 158 179 182 165 140 107 66 17 
46 91 128 157 178 183 166 141 108 67 18 
45 90 127 156 177 184 167 142 109 68 19 
44 89 126 155 176 185 168 143 110 69 20 
43 88 125 154 175 186 169 144 111 70 21 
42 87 124 153 174 187 170 145 112 71 22 
41 86 123 152 173 172 171 146 113 72 23 
40 85 122 151 150 149 148 147 114 73 24 
39 84 121 120 119 118 117 116 115 74 25 
38 83 82 81 80 79 78 77 76 75 26 
37 36 35 34 33 32 31 30 29 28 27 
